order_id,ship_name,ship_address,ship_city
10331,Bon app',"12, rue des Bouchers",Marseille
10332,Mère Paillarde,43 rue St. Laurent,Montréal
10333,Wartian Herkku,Torikatu 38,Oulu
10334,Victuailles en stock,"2, rue du Commerce",Lyon
10335,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10336,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa
10337,Frankenversand,Berliner Platz 43,München
10338,Old World Delicatessen,2743 Bering St.,Anchorage
10339,Mère Paillarde,43 rue St. Laurent,Montréal
10340,Bon app',"12, rue des Bouchers",Marseille
10341,Simons bistro,Vinbæltet 34,Kobenhavn
10342,Frankenversand,Berliner Platz 43,München
10343,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10344,White Clover Markets,1029 - 12th Ave. S.,Seattle
10345,QUICK-Stop,Taucherstraße 10,Cunewalde
10346,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10347,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo
10348,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10349,Split Rail Beer & Ale,P.O. Box 555,Lander
10350,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10351,Ernst Handel,Kirchgasse 6,Graz
10352,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10353,Piccolo und mehr,Geislweg 14,Salzburg
10354,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.
10355,Around the Horn,Brook Farm Stratford St. Mary,Colchester
10356,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10357,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10358,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10359,Seven Seas Imports,90 Wadhurst Rd.,London
10360,Blondel père et fils,"24, place Kléber",Strasbourg
10361,QUICK-Stop,Taucherstraße 10,Cunewalde
10362,Bon app',"12, rue des Bouchers",Marseille
10363,Drachenblut Delikatessen,Walserweg 21,Aachen
10364,Eastern Connection,35 King George,London
10365,Antonio Moreno Taquería,Mataderos  2312,México D.F.
10366,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona
10367,Vaffeljernet,Smagsloget 45,Århus
10368,Ernst Handel,Kirchgasse 6,Graz
10369,Split Rail Beer & Ale,P.O. Box 555,Lander
10370,Chop-suey Chinese,Hauptstr. 31,Bern
10371,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10372,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo
10373,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10374,Wolski Zajazd,ul. Filtrowa 68,Warszawa
10375,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin
10376,Mère Paillarde,43 rue St. Laurent,Montréal
10377,Seven Seas Imports,90 Wadhurst Rd.,London
10378,Folk och fä HB,Åkergatan 24,Bräcke
10379,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro
10380,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10381,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10382,Ernst Handel,Kirchgasse 6,Graz
10383,Around the Horn,Brook Farm Stratford St. Mary,Colchester
10384,Berglunds snabbköp,Berguvsvägen  8,Luleå
10385,Split Rail Beer & Ale,P.O. Box 555,Lander
10386,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo
10387,Santé Gourmet,Erling Skakkes gate 78,Stavern
10388,Seven Seas Imports,90 Wadhurst Rd.,London
10389,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen
10390,Ernst Handel,Kirchgasse 6,Graz
10391,Drachenblut Delikatessen,Walserweg 21,Aachen
10392,Piccolo und mehr,Geislweg 14,Salzburg
10393,Save-a-lot Markets,187 Suffolk Ln.,Boise
10394,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin
10395,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10396,Frankenversand,Berliner Platz 43,München
10397,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa
10398,Save-a-lot Markets,187 Suffolk Ln.,Boise
10399,Vaffeljernet,Smagsloget 45,Århus
10400,Eastern Connection,35 King George,London
10401,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10402,Ernst Handel,Kirchgasse 6,Graz
10403,Ernst Handel,Kirchgasse 6,Graz
10404,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo
10405,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita
10406,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo
10407,Ottilies Käseladen,Mehrheimerstr. 369,Köln
10408,Folies gourmandes,"184, chaussée de Tournai",Lille
10409,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires
10410,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen
10411,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen
10412,Wartian Herkku,Torikatu 38,Oulu
10413,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10414,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo
10415,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin
10416,Wartian Herkku,Torikatu 38,Oulu
10417,Simons bistro,Vinbæltet 34,Kobenhavn
10418,QUICK-Stop,Taucherstraße 10,Cunewalde
10419,Richter Supermarkt,Starenweg 5,Genève
10420,Wellington Importadora,"Rua do Mercado, 12",Resende
10421,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro
10422,Franchi S.p.A.,Via Monte Bianco 34,Torino
10423,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas
10424,Mère Paillarde,43 rue St. Laurent,Montréal
10425,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10426,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona
10427,Piccolo und mehr,Geislweg 14,Salzburg
10428,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia
10429,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10430,Ernst Handel,Kirchgasse 6,Graz
10431,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen
10432,Split Rail Beer & Ale,P.O. Box 555,Lander
10433,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa
10434,Folk och fä HB,Åkergatan 24,Bräcke
10435,Consolidated Holdings,Berkeley Gardens 12  Brewery,London
10436,Blondel père et fils,"24, place Kléber",Strasbourg
10437,Wartian Herkku,Torikatu 38,Oulu
10438,Toms Spezialitäten,Luisenstr. 48,Münster
10439,Mère Paillarde,43 rue St. Laurent,Montréal
10440,Save-a-lot Markets,187 Suffolk Ln.,Boise
10441,Old World Delicatessen,2743 Bering St.,Anchorage
10442,Ernst Handel,Kirchgasse 6,Graz
10443,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia
10444,Berglunds snabbköp,Berguvsvägen  8,Luleå
10445,Berglunds snabbköp,Berguvsvägen  8,Luleå
10446,Toms Spezialitäten,Luisenstr. 48,Münster
10447,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10448,Rancho grande,Av. del Libertador 900,Buenos Aires
10449,Blondel père et fils,"24, place Kléber",Strasbourg
10450,Victuailles en stock,"2, rue du Commerce",Lyon
10451,QUICK-Stop,Taucherstraße 10,Cunewalde
10452,Save-a-lot Markets,187 Suffolk Ln.,Boise
10453,Around the Horn,Brook Farm Stratford St. Mary,Colchester
10454,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10455,Wartian Herkku,Torikatu 38,Oulu
10456,Königlich Essen,Maubelstr. 90,Brandenburg
10457,Königlich Essen,Maubelstr. 90,Brandenburg
10458,Suprêmes délices,"Boulevard Tirou, 255",Charleroi
10459,Victuailles en stock,"2, rue du Commerce",Lyon
10460,Folk och fä HB,Åkergatan 24,Bräcke
10461,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10462,Consolidated Holdings,Berkeley Gardens 12  Brewery,London
10463,Suprêmes délices,"Boulevard Tirou, 255",Charleroi
10464,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10465,Vaffeljernet,Smagsloget 45,Århus
10466,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo
10467,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo
10468,Königlich Essen,Maubelstr. 90,Brandenburg
10469,White Clover Markets,1029 - 12th Ave. S.,Seattle
10470,Bon app',"12, rue des Bouchers",Marseille
10471,B's Beverages,Fauntleroy Circus,London
10472,Seven Seas Imports,90 Wadhurst Rd.,London
10473,Island Trading,Garden House Crowther Way,Cowes
10474,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.
10475,Suprêmes délices,"Boulevard Tirou, 255",Charleroi
10476,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10477,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa
10478,Victuailles en stock,"2, rue du Commerce",Lyon
10479,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10480,Folies gourmandes,"184, chaussée de Tournai",Lille
10481,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10482,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla
10483,White Clover Markets,1029 - 12th Ave. S.,Seattle
10484,B's Beverages,Fauntleroy Circus,London
10485,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita
10486,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10487,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo
10488,Frankenversand,Berliner Platz 43,München
10489,Piccolo und mehr,Geislweg 14,Salzburg
10490,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10491,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10492,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen
10493,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10494,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo
10495,Laughing Bacchus Wine Cellars,2319 Elm St.,Vancouver
10496,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo
10497,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10498,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10499,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10500,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10501,Blauer See Delikatessen,Forsterstr. 57,Mannheim
10502,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.
10503,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10504,White Clover Markets,1029 - 12th Ave. S.,Seattle
10505,Mère Paillarde,43 rue St. Laurent,Montréal
10506,Königlich Essen,Maubelstr. 90,Brandenburg
10507,Antonio Moreno Taquería,Mataderos  2312,México D.F.
10508,Ottilies Käseladen,Mehrheimerstr. 369,Köln
10509,Blauer See Delikatessen,Forsterstr. 57,Mannheim
10510,Save-a-lot Markets,187 Suffolk Ln.,Boise
10511,Bon app',"12, rue des Bouchers",Marseille
10512,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo
10513,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10514,Ernst Handel,Kirchgasse 6,Graz
10515,QUICK-Stop,Taucherstraße 10,Cunewalde
10516,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10517,North/South,South House 300 Queensbridge,London
10518,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10519,Chop-suey Chinese,Hauptstr. 31,Bern
10520,Santé Gourmet,Erling Skakkes gate 78,Stavern
10521,Cactus Comidas para llevar,Cerrito 333,Buenos Aires
10522,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10523,Seven Seas Imports,90 Wadhurst Rd.,London
10524,Berglunds snabbköp,Berguvsvägen  8,Luleå
10525,Bon app',"12, rue des Bouchers",Marseille
10526,Wartian Herkku,Torikatu 38,Oulu
10527,QUICK-Stop,Taucherstraße 10,Cunewalde
10528,Great Lakes Food Market,2732 Baker Blvd.,Eugene
10529,Maison Dewey,Rue Joseph-Bens 532,Bruxelles
10530,Piccolo und mehr,Geislweg 14,Salzburg
10531,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires
10532,Eastern Connection,35 King George,London
10533,Folk och fä HB,Åkergatan 24,Bräcke
10534,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10535,Antonio Moreno Taquería,Mataderos  2312,México D.F.
10536,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10537,Richter Supermarkt,Starenweg 5,Genève
10538,B's Beverages,Fauntleroy Circus,London
10539,B's Beverages,Fauntleroy Circus,London
10540,QUICK-Stop,Taucherstraße 10,Cunewalde
10541,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro
10542,Königlich Essen,Maubelstr. 90,Brandenburg
10543,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto
10544,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland
10545,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla
10546,Victuailles en stock,"2, rue du Commerce",Lyon
10547,Seven Seas Imports,90 Wadhurst Rd.,London
10548,Toms Spezialitäten,Luisenstr. 48,Münster
10549,QUICK-Stop,Taucherstraße 10,Cunewalde
10550,Godos Cocina Típica,"C/ Romero, 33",Sevilla
10551,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10552,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10553,Wartian Herkku,Torikatu 38,Oulu
10554,Ottilies Käseladen,Mehrheimerstr. 369,Köln
10555,Save-a-lot Markets,187 Suffolk Ln.,Boise
10556,Simons bistro,Vinbæltet 34,Kobenhavn
10557,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10558,Around the Horn,Brook Farm Stratford St. Mary,Colchester
10559,Blondel père et fils,"24, place Kléber",Strasbourg
10560,Frankenversand,Berliner Platz 43,München
10561,Folk och fä HB,Åkergatan 24,Bräcke
10562,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia
10563,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10564,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10565,Mère Paillarde,43 rue St. Laurent,Montréal
10566,Blondel père et fils,"24, place Kléber",Strasbourg
10567,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10568,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona
10569,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10570,Mère Paillarde,43 rue St. Laurent,Montréal
10571,Ernst Handel,Kirchgasse 6,Graz
10572,Berglunds snabbköp,Berguvsvägen  8,Luleå
10573,Antonio Moreno Taquería,Mataderos  2312,México D.F.
10574,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland
10575,Morgenstern Gesundkost,Heerstr. 22,Leipzig
10576,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10577,Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland
10578,B's Beverages,Fauntleroy Circus,London
10579,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco
10580,Ottilies Käseladen,Mehrheimerstr. 369,Köln
10581,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo
10582,Blauer See Delikatessen,Forsterstr. 57,Mannheim
10583,Wartian Herkku,Torikatu 38,Oulu
10584,Blondel père et fils,"24, place Kléber",Strasbourg
10585,Wellington Importadora,"Rua do Mercado, 12",Resende
10586,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia
10587,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro
10588,QUICK-Stop,Taucherstraße 10,Cunewalde
10589,Great Lakes Food Market,2732 Baker Blvd.,Eugene
10590,Mère Paillarde,43 rue St. Laurent,Montréal
10591,Vaffeljernet,Smagsloget 45,Århus
10592,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10593,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.
10594,Old World Delicatessen,2743 Bering St.,Anchorage
10595,Ernst Handel,Kirchgasse 6,Graz
10596,White Clover Markets,1029 - 12th Ave. S.,Seattle
10597,Piccolo und mehr,Geislweg 14,Salzburg
10598,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque
10599,B's Beverages,Fauntleroy Circus,London
10600,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin
10601,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10602,Vaffeljernet,Smagsloget 45,Århus
10603,Save-a-lot Markets,187 Suffolk Ln.,Boise
10604,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10605,Mère Paillarde,43 rue St. Laurent,Montréal
10606,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo
10607,Save-a-lot Markets,187 Suffolk Ln.,Boise
10608,Toms Spezialitäten,Luisenstr. 48,Münster
10609,Du monde entier,"67, rue des Cinquante Otages",Nantes
10610,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10611,Wolski Zajazd,ul. Filtrowa 68,Warszawa
10612,Save-a-lot Markets,187 Suffolk Ln.,Boise
10613,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10614,Blauer See Delikatessen,Forsterstr. 57,Mannheim
10615,Wilman Kala,Keskuskatu 45,Helsinki
10616,Great Lakes Food Market,2732 Baker Blvd.,Eugene
10617,Great Lakes Food Market,2732 Baker Blvd.,Eugene
10618,Mère Paillarde,43 rue St. Laurent,Montréal
10619,Mère Paillarde,43 rue St. Laurent,Montréal
10620,Laughing Bacchus Wine Cellars,2319 Elm St.,Vancouver
10621,Island Trading,Garden House Crowther Way,Cowes
10622,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10623,Frankenversand,Berliner Platz 43,München
10624,The Cracker Box,55 Grizzly Peak Rd.,Butte
10625,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.
10626,Berglunds snabbköp,Berguvsvägen  8,Luleå
10627,Save-a-lot Markets,187 Suffolk Ln.,Boise
10628,Blondel père et fils,"24, place Kléber",Strasbourg
10629,Godos Cocina Típica,"C/ Romero, 33",Sevilla
10630,Königlich Essen,Maubelstr. 90,Brandenburg
10631,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse
10632,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10633,Ernst Handel,Kirchgasse 6,Graz
10634,Folies gourmandes,"184, chaussée de Tournai",Lille
10635,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo
10636,Wartian Herkku,Torikatu 38,Oulu
10637,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo
10638,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita
10639,Santé Gourmet,Erling Skakkes gate 78,Stavern
10640,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10641,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal
10642,Simons bistro,Vinbæltet 34,Kobenhavn
10643,Alfreds Futterkiste,Obere Str. 57,Berlin
10644,Wellington Importadora,"Rua do Mercado, 12",Resende
10645,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro
10646,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10647,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro
10648,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro
10649,Maison Dewey,Rue Joseph-Bens 532,Bruxelles
10650,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo
10651,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10652,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas
10653,Frankenversand,Berliner Platz 43,München
10654,Berglunds snabbköp,Berguvsvägen  8,Luleå
10655,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia
10656,Great Lakes Food Market,2732 Baker Blvd.,Eugene
10657,Save-a-lot Markets,187 Suffolk Ln.,Boise
10658,QUICK-Stop,Taucherstraße 10,Cunewalde
10659,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo
10660,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin
10661,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10662,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland
10663,Bon app',"12, rue des Bouchers",Marseille
10664,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa
10665,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland
10666,Richter Supermarkt,Starenweg 5,Genève
10667,Ernst Handel,Kirchgasse 6,Graz
10668,Die Wandernde Kuh,Adenauerallee 900,Stuttgart
10669,Simons bistro,Vinbæltet 34,Kobenhavn
10670,Frankenversand,Berliner Platz 43,München
10671,France restauration,"54, rue Royale",Nantes
10672,Berglunds snabbköp,Berguvsvägen  8,Luleå
10673,Wilman Kala,Keskuskatu 45,Helsinki
10674,Island Trading,Garden House Crowther Way,Cowes
10675,Frankenversand,Berliner Platz 43,München
10676,Tortuga Restaurante,Avda. Azteca 123,México D.F.
10677,Antonio Moreno Taquería,Mataderos  2312,México D.F.
10678,Save-a-lot Markets,187 Suffolk Ln.,Boise
10679,Blondel père et fils,"24, place Kléber",Strasbourg
10680,Old World Delicatessen,2743 Bering St.,Anchorage
10681,Great Lakes Food Market,2732 Baker Blvd.,Eugene
10682,Antonio Moreno Taquería,Mataderos  2312,México D.F.
10683,Du monde entier,"67, rue des Cinquante Otages",Nantes
10684,Ottilies Käseladen,Mehrheimerstr. 369,Köln
10685,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas
10686,Piccolo und mehr,Geislweg 14,Salzburg
10687,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork
10688,Vaffeljernet,Smagsloget 45,Århus
10689,Berglunds snabbköp,Berguvsvägen  8,Luleå
10690,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro
10691,QUICK-Stop,Taucherstraße 10,Cunewalde
